role,source_split,profile,level,pair_id,condition,space,metric,value
primary,test,bursty,24,19,attack_sweep_bursty,65536,unique_ratio_AP,0.5
primary,test,bursty,24,19,attack_sweep_bursty,65536,B2_attack_alert,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,65536,B2_benign_trigger,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,65536,B2_FNR,0.5066666666666666
primary,test,bursty,24,19,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_initial_attack_alert,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_initial_benign_trigger,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_initial_FNR,0.5066666666666666
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_locked_attack_alert,0.0
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.0
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_locked_FNR,1.0
primary,test,bursty,24,19,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,entropy_AP,0.5490565946226904
primary,test,bursty,60,0,attack_sweep_bursty,2048,unique_ratio_AP,0.6389385850036067
primary,test,bursty,60,0,attack_sweep_bursty,2048,B2_attack_alert,1.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_locked_attack_alert,0.4066666666666667
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.3933333333333333
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_locked_FNR,0.5933333333333333
primary,test,bursty,60,0,attack_sweep_bursty,2048,B5_locked_J,0.013333333333333364
primary,test,bursty,60,0,attack_sweep_bursty,65536,entropy_AP,0.5006284266096335
primary,test,bursty,60,0,attack_sweep_bursty,65536,unique_ratio_AP,0.5067567567567568
primary,test,bursty,60,0,attack_sweep_bursty,65536,B2_attack_alert,1.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B2_benign_trigger,1.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B2_FNR,0.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_initial_FNR,0.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_locked_attack_alert,0.43333333333333335
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.43333333333333335
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_locked_FNR,0.5666666666666667
primary,test,bursty,60,0,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,entropy_AP,0.53550613262854
primary,test,bursty,60,9,attack_sweep_bursty,2048,unique_ratio_AP,0.6101888124474804
primary,test,bursty,60,9,attack_sweep_bursty,2048,B2_attack_alert,1.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_locked_attack_alert,0.5
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.49333333333333335
