level_samples_per_window,behavior,run_idx,seed,decisions,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean
12,smallpool16,13,21480868,300,300,0,0,0,154,1.000000,0.000000,0.000000,0.000000,0.513333,2.9324,3.4529,12.363,0.7064
12,smallpool16,14,21480869,300,300,0,0,0,100,1.000000,0.000000,0.000000,0.000000,0.333333,3.0611,3.4687,14.550,0.6587
12,smallpool16,15,21480870,300,300,0,0,0,218,1.000000,0.000000,0.000000,0.000000,0.726667,3.1065,3.5216,12.637,0.7635
12,smallpool16,16,21480871,300,300,0,0,0,141,1.000000,0.000000,0.000000,0.000000,0.470000,2.9779,3.4529,12.897,0.6958
12,smallpool16,17,21480872,300,300,0,0,0,141,1.000000,0.000000,0.000000,0.000000,0.470000,2.9727,3.4328,12.813,0.7050
12,smallpool16,18,21480873,300,300,0,0,0,146,1.000000,0.000000,0.000000,0.000000,0.486667,3.0111,3.4993,12.930,0.7029
12,smallpool16,19,21480874,300,300,0,0,0,148,1.000000,0.000000,0.000000,0.000000,0.493333,3.0265,3.4549,13.113,0.7050
18,random2048,0,22060859,300,300,31,31,229,300,1.000000,0.103333,0.103333,0.763333,1.000000,4.1722,4.7004,18.430,0.9991
18,random2048,1,22060860,300,300,113,113,288,300,1.000000,0.376667,0.376667,0.960000,1.000000,4.4286,4.8074,22.130,0.9922
18,random2048,2,22060861,300,300,11,11,213,300,1.000000,0.036667,0.036667,0.710000,1.000000,4.0768,4.5236,17.497,0.9916
18,random2048,3,22060862,300,300,21,21,259,300,1.000000,0.070000,0.070000,0.863333,1.000000,4.2237,4.5236,19.240,0.9879
18,random2048,4,22060863,300,300,17,17,225,300,1.000000,0.056667,0.056667,0.750000,1.000000,4.1449,4.5850,18.133,0.9960
18,random2048,5,22060864,300,300,87,87,278,300,1.000000,0.290000,0.290000,0.926667,1.000000,4.3804,4.8580,21.273,0.9984
18,random2048,6,22060865,300,300,51,51,241,300,1.000000,0.170000,0.170000,0.803333,1.000000,4.2170,4.7004,19.300,0.9929
18,random2048,7,22060866,300,300,9,9,234,300,1.000000,0.030000,0.030000,0.780000,1.000000,4.1442,4.5236,18.113,0.9957
18,random2048,8,22060867,300,300,81,81,262,300,1.000000,0.270000,0.270000,0.873333,1.000000,4.3321,4.8580,20.710,0.9976
18,random2048,9,22060868,300,300,13,13,210,300,1.000000,0.043333,0.043333,0.700000,1.000000,4.1006,4.5236,17.857,0.9898
18,random2048,10,22060869,300,300,50,50,216,300,1.000000,0.166667,0.166667,0.720000,1.000000,4.1768,4.7004,18.717,0.9960
18,random2048,11,22060870,300,300,37,37,265,300,1.000000,0.123333,0.123333,0.883333,1.000000,4.2842,4.5850,19.867,0.9964
18,random2048,12,22060871,300,300,61,61,224,300,1.000000,0.203333,0.203333,0.746667,1.000000,4.2458,4.8099,19.730,0.9964
18,random2048,13,22060872,300,300,29,29,233,300,1.000000,0.096667,0.096667,0.776667,1.000000,4.1469,4.6439,18.203,0.9976
18,random2048,14,22060873,300,300,50,50,263,300,1.000000,0.166667,0.166667,0.876667,1.000000,4.2818,4.6439,19.767,1.0000
