split,profile,condition,role,level,pair_id,schedule_seed,query_seed,payload_seed,arrival_schedule_sha256,query_schedule_sha256,decisions,fragments_total,benign_fragments_total,attack_fragments_total,measurement_start_seconds,measurement_end_seconds,samples_mean,samples_p95,entropy_mean,unique_ratio_mean,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,rate_legacy,rate_combined,rate_volume,rate_entropy,rate_unique,raw_file,raw_sha256
calibration,bursty,benign_bursty,benign,120,0,9094730634991049090,7731947063946811146,8263475454355799928,1ef1ee3607f7f15b5415cbe59d3c533a149e9d572ce0c712e67e2022a470cf8d,42f751fedf130f2aaafa5e4d63216382d24eaaad4f3f6d3508ceee2280a6bf51,30,831,831,0,6.147882133639972,13.397882133639971,115.0,166.1,6.731162147899526,0.9764505366025819,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_00.jsonl.gz,0735b7a1b855f874fa1a49b26708f83ac9588cbe24813a1ae07c0f9436606821
calibration,bursty,benign_bursty,benign,120,1,15914461639275373002,2898681526823918243,9975966364797462648,9c7aa3530f0cca974e2796a0ee2ad00e8224789614a42f2d8de8ac4491abeb63,1ad642ec98c36eb81a2372071858e6a857be6330d7f4a9449840c69561b4002b,30,721,721,0,6.143309317372777,13.393309317372777,123.0,172.1,6.809814077599773,0.9721849065878673,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_01.jsonl.gz,329e09e1ccd6158017d7e500799fb55d2a740dd8c0105d79661ba27d26eef381
calibration,bursty,benign_bursty,benign,120,2,12917209146805106535,4290902028158555246,15698340832995626372,f39e4b0dc01725f4c7d49475e0a42d9a9d5b703a29d79dee95ea67299623749d,bb85ddde5f279ad6cdb0b5779f7664515d6531b7ef0d589557fa563be0799587,30,786,786,0,6.062613345779381,13.312613345779381,123.96666666666667,173.55,6.830638087938298,0.9676103115590567,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_02.jsonl.gz,7a34dbe528850b93fcba43bc400c07dd660db6d8af808dbc928af59e090774fa
calibration,bursty,benign_bursty,benign,120,3,16877136812781217421,1743841590115959880,1660905765677296732,0fbdc3ff9bf307a7005b9d4d404c2b992ce6b0b20499b224a4fa517356d5739b,49779e93065b7f67d880c3a17de935aa13d7f3f7b12b3543f9e81461cedc99a9,30,789,789,0,6.04842364466357,13.29842364466357,124.4,181.55,6.835181280466428,0.9720279497791479,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_03.jsonl.gz,268233f7ed536f833be8d89077c3c1cb78526ade747f8784f0d48e2db370efb9
calibration,bursty,benign_bursty,benign,120,4,16889806125067538823,10407009759034297970,14755256129381189788,ab12cd98fc95eabf70b416f26e4aab8145a9afd1ac6bb9bd2394f0059f30f3cd,9f14a816fee7d5c184819a7afe6911d3a84802da1042516d04ed014de4f17f79,30,812,812,0,6.155026615170997,13.405026615170996,115.6,170.04999999999995,6.713813361504608,0.9660287142818383,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_04.jsonl.gz,7621bff2485fc18ac67b4e9092c34ae94e8b906e14e760ac9214ba7e6ffb368f
calibration,bursty,benign_bursty,benign,120,5,1057321770108647701,14201164761692938346,18149155678698769283,ade3d4860cdc4fa5a8541e42e759f4e43543c117b02df7266082e486e0b9abdf,e73325f87ba2c2032bb563bad08b90affcd0eb926c46dcfde67034270966950f,30,758,758,0,6.091688015040798,13.341688015040798,129.6,185.2,6.8937570407063244,0.9753279928036441,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_05.jsonl.gz,121879723c662b8704483f17505f7fc5c3fd4012b9881046d86b5232d80209ca
calibration,bursty,benign_bursty,benign,120,6,3122616394761805408,14352200112316549683,8501803386825253583,63fa77d0af76a77a9e51c27ef3896e7afcf25377385a2387ae044e8e7670de40,8b157db4ac5dff972f55f2b08739e629ed3dfd53e8eb704c3ff6f69530df7a46,30,869,869,0,6.202735470027214,13.452735470027214,122.7,176.55,6.786626560894802,0.9627443708713986,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_06.jsonl.gz,81fca779f2c314751d71dd6d37057faa1fb90ba7c6ac0da3d5c7874f4faebbd2
calibration,bursty,benign_bursty,benign,120,7,8554661712065054858,14717709855775747857,13646057635979842475,92ab59e619d48c83cea88c770b7bb2c5d65a2450771bd44107635ea8e72f95d5,9e7656d2329797e298056795e8f7e46d3726d55ab8b91599cc94be8923aefdc0,30,748,748,0,6.177697794815228,13.427697794815227,115.13333333333334,171.1,6.68162634154351,0.9513846630735832,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_07.jsonl.gz,dab30d2fdb4e92ca5e1f03641b6adc366e4570891edde61b4772683d8e43f7a0
calibration,bursty,benign_bursty,benign,120,8,16870464274881402400,1950564853341907980,2835240278699891410,1af87af37d2650641a2f0cffbdb8daf857d5c266dd2430f3cab9b8c7171c70d4,30da7042592a4ed4897197facde3688200dc615f44e356dc8ee630408f881ba0,30,858,858,0,6.117693809455416,13.367693809455416,122.16666666666667,183.64999999999998,6.78496149685442,0.9617288696201961,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_08.jsonl.gz,add683df03da5c643de38d9a6369b31ed582abf0aafd92a6ea5eb430fd21bbd2
calibration,bursty,benign_bursty,benign,120,9,11225702634583821308,16532337783184678241,6350787491894144617,8641e334cf2e29917775e502d2683aa53b35c659d9a7f65d8ede6938d8005702,d1d5ee6ca3a948561e23927f10a26ac6e4048a73ce2cb3186b24c042a72cb2aa,30,846,846,0,6.168217183673487,13.418217183673487,123.7,173.95,6.843667053532452,0.9774677395943285,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_120/pair_09.jsonl.gz,ecad2baacc6a7e5c206dc5d9d2d76e8939a97ce98581d5ac3fc9395b33a74ab1
