e3_split,source_e2_split,profile,level,condition,role,paired_traces,decision_rows,samples_min,samples_median,samples_mean,samples_p95,samples_max,fraction_samples_ge_64,fraction_entropy_ge_6,fraction_unique_ratio_ge_0_90,fraction_locked_trigger
held_out_test,validation,continuous,200,benign_continuous,benign,2,300,166.0,203.0,202.39666666666668,224.0,237.0,1.0,1.0,1.0,1.0
held_out_test,validation,continuous,24,attack_dup_sweep_continuous,attack,2,300,13.0,23.0,23.156666666666666,31.0,35.0,0.0,0.0,0.0,0.0
held_out_test,validation,continuous,24,attack_fixed_continuous,attack,2,300,13.0,23.0,23.156666666666666,31.0,35.0,0.0,0.0,0.0,0.0
held_out_test,validation,continuous,24,attack_random_continuous,attack,2,300,13.0,23.0,23.156666666666666,31.0,35.0,0.0,0.0,1.0,0.0
held_out_test,validation,continuous,24,attack_sweep_continuous,attack,2,300,13.0,23.0,23.156666666666666,31.0,35.0,0.0,0.0,1.0,0.0
held_out_test,validation,continuous,24,benign_continuous,benign,2,300,13.0,23.0,23.156666666666666,31.0,35.0,0.0,0.0,1.0,0.0
held_out_test,validation,continuous,60,attack_dup_sweep_continuous,attack,2,300,38.0,61.0,60.77333333333333,74.05000000000001,81.0,0.3433333333333333,0.0,0.0,0.0
held_out_test,validation,continuous,60,attack_fixed_continuous,attack,2,300,38.0,61.0,60.77333333333333,74.05000000000001,81.0,0.3433333333333333,0.0,0.0,0.0
held_out_test,validation,continuous,60,attack_random_continuous,attack,2,300,38.0,61.0,60.77333333333333,74.05000000000001,81.0,0.3433333333333333,0.29,1.0,0.29
held_out_test,validation,continuous,60,attack_sweep_continuous,attack,2,300,38.0,61.0,60.77333333333333,74.05000000000001,81.0,0.3433333333333333,0.33666666666666667,1.0,0.33666666666666667
held_out_test,validation,continuous,60,benign_continuous,benign,2,300,38.0,61.0,60.77333333333333,74.05000000000001,81.0,0.3433333333333333,0.30333333333333334,1.0,0.30333333333333334
