role,profile,level,condition,space,metric,mean,ci_low,ci_high,pairs
primary,bursty,120,attack_sweep_bursty,65536,B5_locked_J,0.0011111111111110998,0.0,0.0033333333333332993,6
primary,bursty,120,attack_sweep_bursty,65536,B5_locked_attack_alert,0.991111111111111,0.9833333333333334,0.9966666666666666,6
primary,bursty,120,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.9899999999999999,0.9833333333333333,0.9955555555555554,6
primary,bursty,120,attack_sweep_bursty,65536,entropy_AP,0.5044406224236965,0.5005521117501969,0.509423050614735,6
primary,bursty,120,attack_sweep_bursty,65536,unique_ratio_AP,0.516591273929914,0.5007351142991329,0.5349812889053291,6
primary,bursty,200,attack_sweep_bursty,2048,B2_FNR,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,2048,B2_J,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,2048,B2_attack_alert,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,2048,B2_benign_trigger,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,2048,B5_initial_FNR,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,2048,B5_initial_J,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,2048,B5_locked_FNR,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,2048,B5_locked_J,0.0011111111111111183,0.0,0.003333333333333355,6
primary,bursty,200,attack_sweep_bursty,2048,B5_locked_attack_alert,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.9988888888888888,0.9966666666666666,1.0,6
primary,bursty,200,attack_sweep_bursty,2048,entropy_AP,0.6089761240177023,0.602772703190492,0.6152953070737229,6
primary,bursty,200,attack_sweep_bursty,2048,unique_ratio_AP,0.9499830256195968,0.9314420159723079,0.9627672152872265,6
primary,bursty,200,attack_sweep_bursty,65536,B2_FNR,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,65536,B2_J,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,65536,B2_attack_alert,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,65536,B2_benign_trigger,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_initial_FNR,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_initial_J,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_locked_FNR,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_locked_J,0.0,0.0,0.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_locked_attack_alert,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,65536,B5_locked_benign_trigger,1.0,1.0,1.0,6
primary,bursty,200,attack_sweep_bursty,65536,entropy_AP,0.5095786140584487,0.507674717716405,0.5116841014019413,6
primary,bursty,200,attack_sweep_bursty,65536,unique_ratio_AP,0.5645668793237605,0.5553617804184817,0.573771978229039,6
primary,continuous,24,attack_sweep_continuous,2048,B2_FNR,0.4766666666666666,0.4255555555555555,0.54,6
primary,continuous,24,attack_sweep_continuous,2048,B2_J,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,2048,B2_attack_alert,0.5233333333333333,0.45999999999999996,0.5733333333333334,6
primary,continuous,24,attack_sweep_continuous,2048,B2_benign_trigger,0.5233333333333333,0.45999999999999996,0.5744444444444444,6
primary,continuous,24,attack_sweep_continuous,2048,B5_initial_FNR,0.4766666666666666,0.4266666666666666,0.54,6
primary,continuous,24,attack_sweep_continuous,2048,B5_initial_J,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,2048,B5_initial_attack_alert,0.5233333333333333,0.45999999999999996,0.5744444444444444,6
primary,continuous,24,attack_sweep_continuous,2048,B5_initial_benign_trigger,0.5233333333333333,0.45999999999999996,0.5744444444444444,6
primary,continuous,24,attack_sweep_continuous,2048,B5_locked_FNR,1.0,1.0,1.0,6
primary,continuous,24,attack_sweep_continuous,2048,B5_locked_J,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,2048,B5_locked_attack_alert,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,2048,B5_locked_benign_trigger,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,2048,entropy_AP,0.5143627409835075,0.508610748598724,0.5190825409132995,6
primary,continuous,24,attack_sweep_continuous,2048,unique_ratio_AP,0.5362030764367419,0.5251496353399042,0.5540798958934461,6
primary,continuous,24,attack_sweep_continuous,65536,B2_FNR,0.4766666666666666,0.42555555555555563,0.54,6
primary,continuous,24,attack_sweep_continuous,65536,B2_J,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,65536,B2_attack_alert,0.5233333333333333,0.45999999999999996,0.5744444444444444,6
primary,continuous,24,attack_sweep_continuous,65536,B2_benign_trigger,0.5233333333333333,0.45991666666666664,0.5744444444444444,6
primary,continuous,24,attack_sweep_continuous,65536,B5_initial_FNR,0.4766666666666666,0.4255555555555555,0.5377777777777778,6
primary,continuous,24,attack_sweep_continuous,65536,B5_initial_J,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,65536,B5_initial_attack_alert,0.5233333333333333,0.4566666666666667,0.5744444444444444,6
primary,continuous,24,attack_sweep_continuous,65536,B5_initial_benign_trigger,0.5233333333333333,0.4566666666666666,0.5755555555555555,6
primary,continuous,24,attack_sweep_continuous,65536,B5_locked_FNR,1.0,1.0,1.0,6
primary,continuous,24,attack_sweep_continuous,65536,B5_locked_J,0.0,0.0,0.0,6
